cookie,ingredients,calories,radius,cost_to_make
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",170,3.102,0.67
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",198,3.78,1.07
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",224,4.069,1.04
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",198,3.78,1.07
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",191,4.148,1.39
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",162,3.241,1.15
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",204,3.964,0.84
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",243,3.684,1.17
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",178,3.989,nan
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",184,3.743,0.74
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",216,3.848,1.28
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",211,3.94,0.76
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",183,3.874,1.07
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",159,3.429,2.09
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",175,3.766,0.77
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",162,3.241,1.15
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",204,3.964,0.84
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",209,3.182,1.53
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",167,3.548,1.86
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",236,4.043,1.29
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",198,3.78,1.07
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",202,4.289,1.23
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",184,2.982,2.01
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",156,3.765,1.63
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",184,3.343,nan
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",205,3.383,nan
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",162,3.241,1.15
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",204,3.964,0.84
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",176,3.809,nan
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",219,4.346,1.18
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",204,4.667,1.4
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",198,3.448,0.68
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",178,2.952,0.84
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",198,3.78,1.07
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",205,3.937,nan
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",187,3.257,0.69
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",211,4.152,1.72
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",193,3.172,0.97
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",182,4.166,1.11
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",162,3.498,1.18
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",183,3.946,1.05
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",206,3.681,nan
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",176,4.11,2.27
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",205,3.776,0.96
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",203,4.272,1.94
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",213,4.007,1.34
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",183,3.627,1.41
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",174,4.388,0.64
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",240,4.212,0.97
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",195,4.562,0.62
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",220,3.855,2.21
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",193,3.661,1.59
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",184,3.974,0.77
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",159,3.462,1.01
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",205,4.218,0.75
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",229,4.217,1.19
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",165,4.123,2.0
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",208,3.583,1.42
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",203,4.112,0.91
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",193,3.791,1.43
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",186,4.573,1.06
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",209,3.992,0.97
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",206,4.328,1.34
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",189,3.179,0.72
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",211,4.205,1.19
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",211,3.873,1.64
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",199,3.654,0.81
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",158,4.003,1.0
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",168,3.132,0.63
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",216,3.824,1.15
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",164,3.05,nan
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",214,4.141,1.37
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",196,4.425,0.87
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",173,3.911,nan
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",161,4.147,1.63
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",178,3.447,1.13
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",206,4.319,1.24
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",172,3.794,0.96
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",166,1.695,0.82
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",194,3.964,0.96
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",197,4.461,1.67
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",194,3.411,nan
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",253,4.043,1.12
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",198,3.96,0.79
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",185,3.992,1.09
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",158,3.467,1.44
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",184,3.333,1.33
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",199,4.474,1.14
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",167,4.401,1.24
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",249,3.819,1.13
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",193,3.584,nan
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",186,4.089,0.73
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",156,3.451,1.63
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",198,3.128,0.59
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",243,4.207,1.14
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",162,3.587,1.27
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",230,3.788,1.16
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",191,4.475,1.24
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",208,3.976,1.62
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",180,3.252,0.65
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",185,4.307,nan
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",178,4.519,1.41
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",229,3.802,1.79
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",193,3.732,1.16
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",178,3.853,nan
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",179,3.246,1.48
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",181,3.794,1.18
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",222,4.186,0.86
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",161,3.656,1.36
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",211,4.619,nan
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",198,4.93,1.05
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",171,4.045,0.93
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",171,3.731,nan
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",179,3.95,1.65
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",226,3.894,0.95
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",180,4.077,0.83
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",216,4.227,nan
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",206,4.297,0.73
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",177,3.95,0.67
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",153,3.794,0.6
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",184,3.743,0.74
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",227,4.085,1.42
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",170,3.916,2.0
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",162,3.241,1.15
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",204,3.964,0.84
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",211,3.915,1.61
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",197,3.906,1.33
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",199,4.281,1.36
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",209,3.182,1.53